Altium Designer Pick and Place Locations
C:\Users\chase.hathaway\Documents\Emergence\node24_7-29-18\node24\release\assy\Pick Place\Pick Place for node24(DEV).txt

========================================================================================================================
File Design Information:

Date:       30/07/18
Time:       00:30
Revision:   Not in VersionControl
Variant:    DEV
Units used: mil

Designator Comment                                                   Layer       Footprint                                             Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                               
C42F       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   2679.134      1574.801      270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C42G       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   2679.134      2145.667      270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C42H       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   2679.134      2716.533      270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C42I       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   472.441       -1279.529     270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C42J       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   472.441       -708.663      270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C42K       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   472.441       -137.797      270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C42L       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   472.441       433.069       270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C42M       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   472.441       1003.935      270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C42N       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   472.441       1574.801      270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C42O       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   472.441       2145.667      270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C42P       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   472.441       2716.533      270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C42Q       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   -1769.685     -1279.530     270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C42R       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   -1769.685     -708.664      270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C42S       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   -1769.685     -137.797      270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C42T       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   -1769.685     433.069       270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C42U       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   -1769.685     1003.935      270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C42V       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   -1769.685     1574.801      270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C42W       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   -1771.653     2145.667      270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C42X       100nF                                                     TopLayer    CAPC0603(1608)100_L                                   -1771.653     2716.533      270      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
D1A        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              2118.110      -1318.898     360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1B        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              2118.110      -748.031      360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1C        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              2118.110      -177.165      360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1D        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              2118.110      393.701       360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1E        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              2118.110      964.567       360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1F        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              2118.110      1535.433      360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1G        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              2118.110      2106.299      360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1H        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              2118.110      2677.165      360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1I        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              -88.583       -1318.897     360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1J        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              -88.583       -748.031      360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1K        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              -88.583       -177.165      360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1L        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              -88.583       393.701       360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1M        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              -88.583       964.567       360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1N        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              -88.583       1535.433      360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1O        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              -88.583       2106.299      360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1P        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              -88.583       2677.166      360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1Q        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              -2330.709     -1318.898     360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1R        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              -2330.709     -748.032      360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1S        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              -2330.709     -177.165      360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1T        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              -2330.709     393.701       360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1U        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              -2330.709     964.567       360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1V        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              -2330.709     1535.433      360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1W        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              -2332.677     2106.299      360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D1X        TVS_24V_QUAD_300W_SOT23-6_ESDA25SC6Y                      TopLayer    SOT23-6L                                              -2332.677     2677.165      360      "TVS DIODE 24VWM 30VC SOT23"                                                                                                              
D6A        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                1795.276      -952.756      0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6B        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                1795.276      -381.889      0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6C        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                1795.276      188.977       0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6D        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                1795.276      759.843       0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6E        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                1795.275      1330.709      0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6F        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                1795.275      1901.575      0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6G        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                1795.275      2472.441      0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6H        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                1795.275      3043.307      0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6I        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                -411.417      -952.755      0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6J        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                -411.417      -381.889      0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6K        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                -411.417      188.977       0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6L        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                -411.417      759.843       0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6M        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                -411.417      1330.709      0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6N        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                -411.417      1901.575      0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6O        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                -411.417      2472.441      0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6P        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                -411.417      3043.307      360      "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6Q        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                -2653.543     -952.756      0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6R        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                -2653.543     -381.890      0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6S        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                -2653.543     188.976       0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6T        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                -2653.543     759.843       0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6U        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                -2653.543     1330.709      0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6V        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                -2653.543     1901.575      0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6W        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                -2655.512     2472.441      0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
D6X        TVS_5V_DUAL_SOT23-3_SM05-7                                TopLayer    SOT-23                                                -2655.512     3043.307      0        "TVS DIODE 5VWM 20.6VC SOT23"                                                                                                             
F1A        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             2344.488      -935.041      360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1B        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             2344.488      -364.175      360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1C        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             2344.488      206.691       360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1D        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             2344.488      777.557       360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1E        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             2344.488      1348.423      360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1F        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             2344.488      1919.289      360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1G        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             2344.488      2490.155      360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1H        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             2344.488      3061.022      360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1I        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             137.795       -935.041      360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1J        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             137.795       -364.175      360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1K        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             137.795       206.691       360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1L        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             137.795       777.557       360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1M        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             137.795       1348.423      360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1N        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             137.795       1919.290      360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1O        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             137.795       2490.156      360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1P        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             137.795       3061.022      360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1Q        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             -2104.331     -935.041      360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1R        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             -2104.331     -364.175      360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1S        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             -2104.331     206.691       360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1T        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             -2104.331     777.557       360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1U        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             -2104.331     1348.423      360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1V        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             -2104.331     1919.289      360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1W        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             -2106.299     2490.155      360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
F1X        FUSE_BELFUSE_PTC_30V_500MA_1812_0ZCG0050AF2C              TopLayer    FUSE_1812                                             -2106.299     3061.022      360      "PTC RESETTABLE 30V 500MA 1812"                                                                                                           
J1A        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            1722.244      -1102.364     270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1B        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            1722.244      -531.498      270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1C        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            1722.244      39.368        270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1D        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            1722.244      610.234       270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1E        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            1722.244      1181.100      270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1F        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            1722.244      1751.966      270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1G        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            1722.244      2322.832      270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1H        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            1722.244      2893.699      270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1I        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            -484.449      -1102.364     270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1J        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            -484.449      -531.498      270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1K        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            -484.449      39.368        270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1M        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            -484.449      1181.101      270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1N        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            -484.449      1751.967      270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1O        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            -484.449      2322.833      270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1P        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            -484.449      2893.699      270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1Q        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            -2726.575     -1102.364     270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1R        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            -2726.575     -531.498      270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1S        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            -2726.575     39.368        270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1T        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            -2726.575     610.234       270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1U        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            -2726.575     1181.100      270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1V        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            -2726.575     1751.966      270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1W        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            -2728.543     2322.832      270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J1X        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            -2728.543     2893.699      270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J3A        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      2118.110      -1036.614     270      ""                                                                                                                                        
J3B        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      2118.110      -465.748      270      ""                                                                                                                                        
J3C        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      2118.110      105.118       270      ""                                                                                                                                        
J3D        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      2118.110      675.985       270      ""                                                                                                                                        
J3E        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      2118.110      1246.850      270      ""                                                                                                                                        
J3F        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      2118.110      1817.716      270      ""                                                                                                                                        
J3G        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      2118.110      2388.583      270      ""                                                                                                                                        
J3H        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      2118.110      2959.449      270      ""                                                                                                                                        
J3I        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      -88.583       -1036.614     270      ""                                                                                                                                        
J3J        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      -88.583       -465.748      270      ""                                                                                                                                        
J3K        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      -88.583       105.118       270      ""                                                                                                                                        
J3M        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      -88.583       1246.851      270      ""                                                                                                                                        
J3N        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      -88.583       1817.717      270      ""                                                                                                                                        
J3O        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      -88.583       2388.583      270      ""                                                                                                                                        
J3P        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      -88.583       2959.449      270      ""                                                                                                                                        
J3Q        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      -2330.709     -1036.614     270      ""                                                                                                                                        
J3R        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      -2330.709     -465.748      270      ""                                                                                                                                        
J3S        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      -2330.709     105.118       270      ""                                                                                                                                        
J3T        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      -2330.709     675.984       270      ""                                                                                                                                        
J3U        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      -2330.709     1246.850      270      ""                                                                                                                                        
J3V        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      -2330.709     1817.716      270      ""                                                                                                                                        
J3W        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      -2332.677     2388.583      270      ""                                                                                                                                        
J3X        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      -2332.677     2959.449      270      ""                                                                                                                                        
R20A       1M                                                        TopLayer    RESC0603(1608)_L                                      2679.134      -903.545      90       "1M 0.1W 1% 0603 (1608 Metric)  SMD"                                                                                                      
R20B       1M                                                        TopLayer    RESC0603(1608)_L                                      2679.134      -332.679      90       "1M 0.1W 1% 0603 (1608 Metric)  SMD"                                                                                                      
R20C       1M                                                        TopLayer    RESC0603(1608)_L                                      2679.134      238.187       90       "1M 0.1W 1% 0603 (1608 Metric)  SMD"                                                                                                      
R20D       1M                                                        TopLayer    RESC0603(1608)_L                                      2679.134      809.053       90       "1M 0.1W 1% 0603 (1608 Metric)  SMD"                                                                                                      
R20E       1M                                                        TopLayer    RESC0603(1608)_L                                      2679.133      1379.919      90       "1M 0.1W 1% 0603 (1608 Metric)  SMD"                                                                                                      
R20F       1M                                                        TopLayer    RESC0603(1608)_L                                      2679.133      1950.785      90       "1M 0.1W 1% 0603 (1608 Metric)  SMD"                                                                                                      
R20G       1M                                                        TopLayer    RESC0603(1608)_L                                      2679.133      2521.651      90       "1M 0.1W 1% 0603 (1608 Metric)  SMD"                                                                                                      
